city,station,train_var,lag1_autocorr,raw_missing_rate
beijing,Aotizhongxin,6202.1328125,0.9691069489220473,0.0263803331051791
beijing,Changping,5125.28271484375,0.9608081821181599,0.022073921971252568
beijing,Dingling,5234.67041015625,0.9694373918292174,0.022216518366415697
beijing,Dongsi,6760.52294921875,0.9704263341481846,0.02138945927446954
beijing,Guanyuan,5979.478515625,0.9727555831787508,0.01756787588409765
beijing,Gucheng,6157.482421875,0.9683553781737363,0.01842345425507643
beijing,Huairou,4878.634765625,0.968465156192181,0.02717887291809263
beijing,Nongzhanguan,7121.625,0.9701261535971152,0.01791010723248916
beijing,Shunyi,6087.4423828125,0.9671037207567696,0.02603810175678759
beijing,Tiantan,5987.84619140625,0.9714021127763321,0.01930755190508784
beijing,Wanliu,6417.67626953125,0.9700834318592995,0.010894364590463152
beijing,Wanshouxigong,6621.013671875,0.9696214093407672,0.019849418206707735
london,BL0,34.13834762573242,0.9368391594906649,0.38366484974743875
london,BT4,88.41180419921875,0.8982233572379247,0.2041893781570161
london,CT3,51.41274642944336,0.8755736785570587,0.3065551782197997
london,GN0,72.45872497558594,0.9191980857413479,0.2760195199908678
london,KC1,49.82257843017578,0.9697058071308503,0.09194943066693306
london,LH0,35.50607681274414,0.9728701446235128,0.4497588539139865
london,RB7,51.981563568115234,0.8976169300186514,0.16854541822436575
london,TH4,69.21791076660156,0.9479355872257047,0.30872406609400416
madrid,CASA DE CAMPO,39.85061264038086,0.9349607070990315,0.5943872458146764
madrid,CASTELLANA,60.54857635498047,0.9495017495431057,0.5939309243361949
madrid,CUATRO CAMINOS-PABLO,75.24081420898438,0.9494487142291181,0.5850041354133988
madrid,ESCUELAS AGUIRRE,117.2336196899414,0.9472691067844412,0.5939309243361949
madrid,MENDEZ ALVARO,0.0,0.9063911358031265,0.13320597429663072
madrid,PLAZA CASTILLA-CANAL,85.73563385009766,0.9341542091762488,0.5779881926817443
madrid,PLAZA ELÍPTICA,69.0697021484375,0.928218849658092,0.5861449391096027
czt,1335A,1074.4415283203125,0.9810273331351475,0.020455588707826378
czt,1336A,1074.1680908203125,0.985405468446633,0.02217695662152841
czt,1337A,1105.4166259765625,0.9816003130115375,0.02355405095249019
czt,1338A,987.4341430664062,0.9825612329545742,0.03305026394307997
czt,1339A,1013.0440673828125,0.9831151116695096,0.024099150791829227
czt,1340A,1075.196533203125,0.9789693510764301,0.02200481983015845
czt,1341A,1073.735595703125,0.976739514147384,0.022779435391324432
czt,1342A,855.7315063476562,0.9848840603229202,0.028345191645627765
czt,1343A,986.961669921875,0.9820016797946894,0.04386619233417477
czt,1508A,994.4829711914062,0.9770761278179874,0.016266926784484825
czt,1511A,1000.7313842773438,0.9790669011618974,0.01927932063346338
czt,1512A,1006.8868408203125,0.9791751628196578,0.026652513197154004
czt,1513A,969.314208984375,0.9760798768448337,0.06503901767271059
czt,1514A,988.3173828125,0.9802715315324112,0.03178792747303205
czt,1515A,965.55419921875,0.9787534642545181,0.11028230433784714
czt,1518A,852.1494750976562,0.9750713037212341,0.03959146201514796
czt,1519A,982.222412109375,0.973204303959074,0.0485712646316272
czt,1520A,1018.7271118164062,0.9766470454977507,0.02263598806518241
czt,1524A,972.620361328125,0.9772788276189915,0.022435161808583848
czt,1562A,977.98974609375,0.9804424943175944,0.03580445260500342
